id,ano,status,ementa,autor,url
573870,2013,Arquivada,"Altera a Lei nº 9.503, de 1997, que institui o Código de Trânsito Brasileiro, acrescentando aos arts. 181, o inciso XX e 202, o inciso III.",Camilo Cola,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1081362
574183,2013,Tramitando em Conjunto,Institui isenção do Imposto sobre Produtos Industrializados para operações com bicicletas.,Raul Lima,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1082006
576181,2013,Tramitando em Conjunto,"Concede isenção do Imposto sobre Produtos Industrializados incidente sobre bicicletas, suas partes e acessórios",Inocêncio Oliveira,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1086807
579238,2013,Tramitando em Conjunto,Fixa alíquota do Imposto sobre Produto Industrializado (IPI) incidente sobre bicicletas.,Luiz de Deus,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1095189
582111,2013,Retirado pelo Autor,Dispõe sobre a redução do Imposto sobre Produtos Industrializados para a aquisição de bicicletas e dá outras providências.,Sarney Filho,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1103140
582419,2013,Tramitando em Conjunto,Dispõe sobre a reserva de vagas para bicicletas e veículos não poluentes em estacionamentos públicos e privados.,Policarpo,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1104045
583998,2013,Tramitando em Conjunto,Dispõe sobre a redução do Imposto sobre Produtos Industrializados para a aquisição de bicicletas e dá outras providências.,Sarney Filho,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1107354
588759,2013,Arquivada,Obriga os comerciantes varejistas de bicicletas a informar o número de série desses produtos em documentos fiscais.,Major Fábio,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1119411
589624,2013,Aguardando Parecer,"Altera a Lei nº 6.766, de 19 de dezembro de 1979, que dispõe sobre o parcelamento do solo urbano, a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, a Lei nº 11.977, de 7 de julho de 2009, que dispõe sobre o Programa Minha Casa Minha Vida e a Lei nº 12.587, de 3 de janeiro de 2012, que institui as diretrizes da Política Nacional de Mobilidade Urbana, para dispor sobre a circulação de pedestres e ciclistas.",Walter Feldman,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1122677
590803,2013,Tramitando em Conjunto,"Altera a Lei nº 10.925, de 23 de julho de 2004, para desonerar as operações com bicicletas, suas partes, peças e acessórios do pagamento da Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público - PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social - COFINS.",Onyx Lorenzoni,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1126362
593375,2013,Tramitando em Conjunto,"Altera a Lei nº 7.418, de 16 de dezembro de 1985, para permitir que o vale-transporte seja utilizado para o custeio de transporte do empregado por meio de bicicletas.",Rosinha da Adefal,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1142479
594052,2013,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para tratar de equipamento obrigatório para bicicletas elétricas.",Henrique Oliveira,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1145291
595135,2013,Tramitando em Conjunto,Concede isenção do Imposto sobre Produtos Industrializados (IPI) nas operações com bicicletas.,Major Fábio,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1148818
599398,2013,Tramitando em Conjunto,"Dispõe sobre desoneração tributária incidente sobre bicicletas, suas partes, peças e acessórios.",Rodrigo Maia,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1175621
600038,2013,Tramitando em Conjunto,"Acrescenta artigo à Lei nº 7.418, de 16 de dezembro de 1985, para instituir o ""Vale-Bicicleta"".",Fernando Ferro,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1176752
602145,2013,Tramitando em Conjunto,"""Concede isenção do Imposto sobre Produtos Industrializados (IPI) incidente sobre bicicletas, bem como suas partes e peças separadas, fabricados no território nacional""",Dr. Grilo,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1199638
603964,2013,Tramitando em Conjunto,"Concede isenção do Imposto sobre Produtos Industrializados incidente sobre bicicletas, suas partes e peças , e reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social incidentes sobre a importação e a receita bruta decorrente da venda, no mercado interno, desses bens.",Daniel Almeida,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1208624
611022,2014,Tramitando em Conjunto,"Dispõe sobre a regulamentação das bicicletas elétricas, em todo território Nacional.",Danrlei de Deus Hinterholz - Ricardo Izar,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1241279
611051,2014,Tramitando em Conjunto,"Dispõe sobre a isenção do Imposto sobre Produtos Industrializados para a aquisição de bicicletas elétricas, mecânicas, e seus acessórios.",Danrlei de Deus Hinterholz - Ricardo Izar,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1241328
618486,2014,Tramitando em Conjunto,"Altera a Lei nº 12.587, de 3 de janeiro de 2012, que institui as diretrizes da Política Nacional de Mobilidade Urbana, entre outras providências, para dispor sobre apoio a ciclistas em órgãos públicos.",Zé Vieira,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1259712
619903,2014,Tramitando em Conjunto,"Dispõe sobre desoneração tributária incidente sobre bicicletas, suas partes, peças e acessórios, bem como a concessão de crédito para sua aquisição.",Ronaldo Caiado,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1265653
622112,2014,Tramitando em Conjunto,"Altera a Lei nº 6.766, de 19 de dezembro de 1979, que dispõe sobre o Parcelamento do Solo Urbano e dá outras Providências, para determinar a previsão de ciclovias nos novos loteamentos.",Assis Melo,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1276242
786594,2014,Tramitando em Conjunto,"Altera o art. 320 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para estabelecer nova distribuição dos recursos arrecadados com multas de trânsito.",Nilson Leitão,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1287279
